==============================================================
  FULL EXPERIMENT SUMMARY (MERGED) — Fri Apr 10 01:09:51 EDT 2026
  17/18 experiments (excluding fov7_30c8p_r70_discriminative)
==============================================================

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
semantic_lna_random_single k2=4     | 0.968315 +/- 0.005443 | 0.885667 +/- 0.036587 | 0.010753 +/- 0.018624
semantic_lna_random_single k2=5     | 0.969559 +/- 0.005135 | 0.888167 +/- 0.037072 | 0.022321 +/- 0.019459

────────────────────────────────────────────────────────────────
Experiment: fov7_20c8p_r50_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic                   1        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic                   2        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic                   3        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic                   4        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic                   5        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_random            0        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_random            1        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_random            2        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_random            3        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_random            4        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_random            5        |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna               k2=0     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna               k2=1     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna               k2=2     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna               k2=3     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna               k2=4     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna               k2=5     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random        k2=0     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random        k2=1     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random        k2=2     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random        k2=3     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random        k2=4     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random        k2=5     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_single        k2=0     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_single        k2=1     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_single        k2=2     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_single        k2=3     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_single        k2=4     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_single        k2=5     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random_single k2=0     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random_single k2=1     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random_single k2=2     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random_single k2=3     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random_single k2=4     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random_single k2=5     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     

────────────────────────────────────────────────────────────────
Experiment: fov7_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.929954 +/- 0.022034 | 0.933333 +/- 0.002031 | 0.012821 +/- 0.022206
semantic                   1        | 0.970315 +/- 0.015029 | 0.986905 +/- 0.005017 | 0.181217 +/- 0.179948
semantic                   2        | 0.986871 +/- 0.004248 | 0.996310 +/- 0.000546 | 0.355922 +/- 0.232452
semantic                   3        | 0.993975 +/- 0.002611 | 0.998809 +/- 0.000744 | 0.633333 +/- 0.284800
semantic                   4        | 0.997716 +/- 0.001194 | 0.999524 +/- 0.000825 | 0.933333 +/- 0.115470
semantic                   5        | 0.999810 +/- 0.000052 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.929954 +/- 0.022034 | 0.933333 +/- 0.002031 | 0.012821 +/- 0.022206
semantic_random            1        | 0.938958 +/- 0.020513 | 0.944881 +/- 0.003221 | 0.040000 +/- 0.069282
semantic_random            2        | 0.946346 +/- 0.017464 | 0.952143 +/- 0.002500 | 0.015152 +/- 0.026243
semantic_random            3        | 0.951721 +/- 0.017714 | 0.959167 +/- 0.002431 | 0.058333 +/- 0.062915
semantic_random            4        | 0.957499 +/- 0.014699 | 0.968571 +/- 0.002575 | 0.064286 +/- 0.072492
semantic_random            5        | 0.961129 +/- 0.013575 | 0.972500 +/- 0.002835 | 0.046970 +/- 0.045530
semantic_lna               k2=0     | 0.944888 +/- 0.031701 | 0.921833 +/- 0.007572 | 0.015873 +/- 0.027493
semantic_lna               k2=1     | 0.964829 +/- 0.020574 | 0.946500 +/- 0.002646 | 0.074074 +/- 0.128300
semantic_lna               k2=2     | 0.976386 +/- 0.008483 | 0.950667 +/- 0.001756 | 0.092593 +/- 0.115648
semantic_lna               k2=3     | 0.980643 +/- 0.006731 | 0.954333 +/- 0.000764 | 0.096296 +/- 0.114035
semantic_lna               k2=4     | 0.983227 +/- 0.004506 | 0.954500 +/- 0.000500 | 0.096296 +/- 0.114035
semantic_lna               k2=5     | 0.984449 +/- 0.002960 | 0.955167 +/- 0.000764 | 0.096296 +/- 0.114035
semantic_lna_random        k2=0     | 0.944888 +/- 0.031701 | 0.921833 +/- 0.007572 | 0.015873 +/- 0.027493
semantic_lna_random        k2=1     | 0.950882 +/- 0.029501 | 0.927500 +/- 0.006062 | 0.015873 +/- 0.027493
semantic_lna_random        k2=2     | 0.955442 +/- 0.026069 | 0.932167 +/- 0.006788 | 0.015873 +/- 0.027493
semantic_lna_random        k2=3     | 0.959558 +/- 0.024695 | 0.939333 +/- 0.005299 | 0.016667 +/- 0.028868
semantic_lna_random        k2=4     | 0.963593 +/- 0.022312 | 0.941167 +/- 0.003753 | 0.016667 +/- 0.028868
semantic_lna_random        k2=5     | 0.967174 +/- 0.019924 | 0.945500 +/- 0.002179 | 0.055556 +/- 0.096225
semantic_lna_single        k2=0     | 0.944888 +/- 0.031701 | 0.921833 +/- 0.007572 | 0.015873 +/- 0.027493
semantic_lna_single        k2=1     | 0.962458 +/- 0.018639 | 0.942333 +/- 0.002843 | 0.078431 +/- 0.135847
semantic_lna_single        k2=2     | 0.973958 +/- 0.005979 | 0.946333 +/- 0.002754 | 0.098039 +/- 0.122451
semantic_lna_single        k2=3     | 0.978035 +/- 0.004087 | 0.950667 +/- 0.003329 | 0.120262 +/- 0.154210
semantic_lna_single        k2=4     | 0.980651 +/- 0.002352 | 0.950833 +/- 0.003055 | 0.120262 +/- 0.154210
semantic_lna_single        k2=5     | 0.982535 +/- 0.002811 | 0.951500 +/- 0.002000 | 0.120262 +/- 0.154210
semantic_lna_random_single k2=0     | 0.944888 +/- 0.031701 | 0.921833 +/- 0.007572 | 0.015873 +/- 0.027493
semantic_lna_random_single k2=1     | 0.950233 +/- 0.028985 | 0.929667 +/- 0.003547 | 0.050000 +/- 0.086603
semantic_lna_random_single k2=2     | 0.954691 +/- 0.026363 | 0.936667 +/- 0.004368 | 0.052632 +/- 0.091161
semantic_lna_random_single k2=3     | 0.958865 +/- 0.023365 | 0.940833 +/- 0.003753 | 0.058824 +/- 0.101886
semantic_lna_random_single k2=4     | 0.961950 +/- 0.021468 | 0.941000 +/- 0.001500 | 0.052632 +/- 0.091161
semantic_lna_random_single k2=5     | 0.965991 +/- 0.017322 | 0.944167 +/- 0.002082 | 0.070175 +/- 0.121547

────────────────────────────────────────────────────────────────
Experiment: fov7_20c8p_r70_extended
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.928549 +/- 0.027559 | 0.881785 +/- 0.037781 | 0.031435 +/- 0.002960
semantic                   1        | 0.967700 +/- 0.012041 | 0.966429 +/- 0.004949 | 0.081154 +/- 0.043281
semantic                   2        | 0.982403 +/- 0.007823 | 0.986905 +/- 0.002378 | 0.529991 +/- 0.132155
semantic                   3        | 0.990781 +/- 0.003480 | 0.997976 +/- 0.001833 | 0.865385 +/- 0.126105
semantic                   4        | 0.998062 +/- 0.000876 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 0.999860 +/- 0.000138 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.928549 +/- 0.027559 | 0.881785 +/- 0.037781 | 0.031435 +/- 0.002960
semantic_random            1        | 0.938482 +/- 0.024146 | 0.906667 +/- 0.027153 | 0.032129 +/- 0.003135
semantic_random            2        | 0.946286 +/- 0.021695 | 0.922262 +/- 0.022704 | 0.042523 +/- 0.019274
semantic_random            3        | 0.952777 +/- 0.019769 | 0.933095 +/- 0.016874 | 0.043932 +/- 0.016257
semantic_random            4        | 0.957904 +/- 0.018439 | 0.940833 +/- 0.014658 | 0.033377 +/- 0.004628
semantic_random            5        | 0.964231 +/- 0.015795 | 0.951548 +/- 0.009757 | 0.044962 +/- 0.017035
semantic_lna               k2=0     | 0.936135 +/- 0.013903 | 0.878167 +/- 0.044951 | 0.041861 +/- 0.003501
semantic_lna               k2=1     | 0.963159 +/- 0.016595 | 0.920833 +/- 0.035385 | 0.047212 +/- 0.008554
semantic_lna               k2=2     | 0.968682 +/- 0.015446 | 0.927667 +/- 0.034250 | 0.067909 +/- 0.043317
semantic_lna               k2=3     | 0.970519 +/- 0.014778 | 0.928000 +/- 0.033679 | 0.068422 +/- 0.042800
semantic_lna               k2=4     | 0.971442 +/- 0.014959 | 0.928000 +/- 0.033679 | 0.068422 +/- 0.042800
semantic_lna               k2=5     | 0.971807 +/- 0.015296 | 0.928000 +/- 0.033679 | 0.068422 +/- 0.042800
semantic_lna_random        k2=0     | 0.936135 +/- 0.013903 | 0.878167 +/- 0.044951 | 0.041861 +/- 0.003501
semantic_lna_random        k2=1     | 0.945449 +/- 0.015394 | 0.894333 +/- 0.040045 | 0.041861 +/- 0.003501
semantic_lna_random        k2=2     | 0.952453 +/- 0.015717 | 0.905667 +/- 0.036621 | 0.041861 +/- 0.003501
semantic_lna_random        k2=3     | 0.957296 +/- 0.016743 | 0.910167 +/- 0.035722 | 0.042465 +/- 0.003605
semantic_lna_random        k2=4     | 0.960504 +/- 0.016110 | 0.914500 +/- 0.034209 | 0.042978 +/- 0.002762
semantic_lna_random        k2=5     | 0.963291 +/- 0.015690 | 0.917000 +/- 0.033343 | 0.044358 +/- 0.003926
semantic_lna_single        k2=0     | 0.940609 +/- 0.014527 | 0.882333 +/- 0.034858 | 0.042374 +/- 0.002795
semantic_lna_single        k2=1     | 0.967678 +/- 0.009313 | 0.921833 +/- 0.022307 | 0.049543 +/- 0.005318
semantic_lna_single        k2=2     | 0.972371 +/- 0.009086 | 0.928000 +/- 0.018755 | 0.086835 +/- 0.035762
semantic_lna_single        k2=3     | 0.974025 +/- 0.008939 | 0.928500 +/- 0.018255 | 0.086835 +/- 0.035762
semantic_lna_single        k2=4     | 0.974330 +/- 0.008884 | 0.928500 +/- 0.018255 | 0.086835 +/- 0.035762
semantic_lna_single        k2=5     | 0.974330 +/- 0.008884 | 0.928500 +/- 0.018255 | 0.086835 +/- 0.035762
semantic_lna_random_single k2=0     | 0.940609 +/- 0.014527 | 0.882333 +/- 0.034858 | 0.042374 +/- 0.002795
semantic_lna_random_single k2=1     | 0.951727 +/- 0.012773 | 0.902667 +/- 0.025507 | 0.042978 +/- 0.002762
semantic_lna_random_single k2=2     | 0.958179 +/- 0.011464 | 0.909333 +/- 0.022530 | 0.043533 +/- 0.001895
semantic_lna_random_single k2=3     | 0.962442 +/- 0.011817 | 0.914667 +/- 0.023261 | 0.046311 +/- 0.003344
semantic_lna_random_single k2=4     | 0.964997 +/- 0.010224 | 0.917333 +/- 0.020811 | 0.047619 +/- 0.000000
semantic_lna_random_single k2=5     | 0.967955 +/- 0.009403 | 0.920500 +/- 0.019255 | 0.063564 +/- 0.027524

────────────────────────────────────────────────────────────────
Experiment: fov7_20c8p_r70_original
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.811234 +/- 0.006410 | 0.849048 +/- 0.008728 | 0.119325 +/- 0.038478
semantic                   1        | 0.913694 +/- 0.002970 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   2        | 0.928014 +/- 0.000531 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   3        | 0.928571 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   4        | 0.928571 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 0.928571 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.811234 +/- 0.006410 | 0.849048 +/- 0.008728 | 0.119325 +/- 0.038478
semantic_random            1        | 0.826742 +/- 0.006066 | 0.871548 +/- 0.007511 | 0.130153 +/- 0.034716
semantic_random            2        | 0.838671 +/- 0.002721 | 0.889286 +/- 0.008113 | 0.157051 +/- 0.054200
semantic_random            3        | 0.848790 +/- 0.003548 | 0.901190 +/- 0.005548 | 0.167949 +/- 0.027824
semantic_random            4        | 0.860333 +/- 0.000767 | 0.917619 +/- 0.005004 | 0.164948 +/- 0.034242
semantic_random            5        | 0.870411 +/- 0.000692 | 0.931071 +/- 0.005669 | 0.217990 +/- 0.054834
semantic_lna               k2=0     | 0.870168 +/- 0.006148 | 0.828333 +/- 0.006898 | 0.089219 +/- 0.032984
semantic_lna               k2=1     | 0.894346 +/- 0.006453 | 0.873000 +/- 0.008544 | 0.190927 +/- 0.034775
semantic_lna               k2=2     | 0.898369 +/- 0.007400 | 0.873000 +/- 0.008544 | 0.190927 +/- 0.034775
semantic_lna               k2=3     | 0.898606 +/- 0.007226 | 0.873000 +/- 0.008544 | 0.190927 +/- 0.034775
semantic_lna               k2=4     | 0.898606 +/- 0.007226 | 0.873000 +/- 0.008544 | 0.190927 +/- 0.034775
semantic_lna               k2=5     | 0.898606 +/- 0.007226 | 0.873000 +/- 0.008544 | 0.190927 +/- 0.034775
semantic_lna_random        k2=0     | 0.870168 +/- 0.006148 | 0.828333 +/- 0.006898 | 0.089219 +/- 0.032984
semantic_lna_random        k2=1     | 0.875748 +/- 0.005167 | 0.837833 +/- 0.005923 | 0.107213 +/- 0.052740
semantic_lna_random        k2=2     | 0.879753 +/- 0.006941 | 0.844500 +/- 0.002500 | 0.124756 +/- 0.053942
semantic_lna_random        k2=3     | 0.884161 +/- 0.006738 | 0.852833 +/- 0.002887 | 0.137464 +/- 0.049760
semantic_lna_random        k2=4     | 0.886223 +/- 0.006366 | 0.854667 +/- 0.003547 | 0.151372 +/- 0.051628
semantic_lna_random        k2=5     | 0.889153 +/- 0.005127 | 0.859500 +/- 0.005679 | 0.161354 +/- 0.040105
semantic_lna_single        k2=0     | 0.869793 +/- 0.006804 | 0.827667 +/- 0.007077 | 0.077244 +/- 0.043752
semantic_lna_single        k2=1     | 0.895916 +/- 0.007709 | 0.868500 +/- 0.003606 | 0.165649 +/- 0.023179
semantic_lna_single        k2=2     | 0.898761 +/- 0.007380 | 0.868500 +/- 0.003606 | 0.165649 +/- 0.023179
semantic_lna_single        k2=3     | 0.899084 +/- 0.006840 | 0.868500 +/- 0.003606 | 0.165649 +/- 0.023179
semantic_lna_single        k2=4     | 0.899084 +/- 0.006840 | 0.868500 +/- 0.003606 | 0.165649 +/- 0.023179
semantic_lna_single        k2=5     | 0.899084 +/- 0.006840 | 0.868500 +/- 0.003606 | 0.165649 +/- 0.023179
semantic_lna_random_single k2=0     | 0.869793 +/- 0.006804 | 0.827667 +/- 0.007077 | 0.077244 +/- 0.043752
semantic_lna_random_single k2=1     | 0.877214 +/- 0.006940 | 0.838833 +/- 0.006171 | 0.093504 +/- 0.060815
semantic_lna_random_single k2=2     | 0.881466 +/- 0.006017 | 0.845667 +/- 0.003215 | 0.108372 +/- 0.047608
semantic_lna_random_single k2=3     | 0.884111 +/- 0.006155 | 0.850333 +/- 0.004193 | 0.112741 +/- 0.034799
semantic_lna_random_single k2=4     | 0.890754 +/- 0.007123 | 0.858500 +/- 0.006500 | 0.114062 +/- 0.062255
semantic_lna_random_single k2=5     | 0.891435 +/- 0.006143 | 0.859333 +/- 0.005686 | 0.124033 +/- 0.025895

────────────────────────────────────────────────────────────────
Experiment: fov7_20c8p_r70_spatial
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.896530 +/- 0.029659 | 0.887500 +/- 0.017335 | 0.034036 +/- 0.017486
semantic                   1        | 0.970784 +/- 0.012176 | 0.985714 +/- 0.002500 | 0.437657 +/- 0.102610
semantic                   2        | 0.990442 +/- 0.003101 | 0.998810 +/- 0.001148 | 0.901234 +/- 0.059529
semantic                   3        | 0.995773 +/- 0.002202 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   4        | 0.998765 +/- 0.000541 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 0.999770 +/- 0.000231 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.896530 +/- 0.029659 | 0.887500 +/- 0.017335 | 0.034036 +/- 0.017486
semantic_random            1        | 0.909483 +/- 0.024903 | 0.905714 +/- 0.012832 | 0.034537 +/- 0.018346
semantic_random            2        | 0.919459 +/- 0.022557 | 0.923095 +/- 0.010002 | 0.044473 +/- 0.019332
semantic_random            3        | 0.931167 +/- 0.019563 | 0.939167 +/- 0.010952 | 0.080423 +/- 0.033647
semantic_random            4        | 0.938093 +/- 0.017747 | 0.948691 +/- 0.009431 | 0.095124 +/- 0.042137
semantic_random            5        | 0.946763 +/- 0.016505 | 0.957143 +/- 0.005901 | 0.078283 +/- 0.029122
semantic_lna               k2=0     | 0.918940 +/- 0.016810 | 0.860167 +/- 0.034148 | 0.050877 +/- 0.050023
semantic_lna               k2=1     | 0.955510 +/- 0.006383 | 0.921667 +/- 0.029905 | 0.115841 +/- 0.060838
semantic_lna               k2=2     | 0.963275 +/- 0.007455 | 0.925833 +/- 0.029738 | 0.117670 +/- 0.059292
semantic_lna               k2=3     | 0.964891 +/- 0.007608 | 0.926500 +/- 0.029407 | 0.130015 +/- 0.048560
semantic_lna               k2=4     | 0.965754 +/- 0.007438 | 0.926500 +/- 0.029407 | 0.130015 +/- 0.048560
semantic_lna               k2=5     | 0.966019 +/- 0.007458 | 0.926500 +/- 0.029407 | 0.130015 +/- 0.048560
semantic_lna_random        k2=0     | 0.918940 +/- 0.016810 | 0.860167 +/- 0.034148 | 0.050877 +/- 0.050023
semantic_lna_random        k2=1     | 0.929997 +/- 0.013227 | 0.880000 +/- 0.031894 | 0.050877 +/- 0.050023
semantic_lna_random        k2=2     | 0.937952 +/- 0.011798 | 0.893167 +/- 0.033382 | 0.050877 +/- 0.050023
semantic_lna_random        k2=3     | 0.943744 +/- 0.008558 | 0.899500 +/- 0.028649 | 0.061988 +/- 0.034304
semantic_lna_random        k2=4     | 0.948512 +/- 0.008661 | 0.907667 +/- 0.027975 | 0.063995 +/- 0.069501
semantic_lna_random        k2=5     | 0.952950 +/- 0.008295 | 0.913833 +/- 0.029267 | 0.075397 +/- 0.071758
semantic_lna_single        k2=0     | 0.925259 +/- 0.010477 | 0.878667 +/- 0.020751 | 0.050427 +/- 0.050005
semantic_lna_single        k2=1     | 0.956491 +/- 0.008248 | 0.932167 +/- 0.014785 | 0.123164 +/- 0.029304
semantic_lna_single        k2=2     | 0.962998 +/- 0.009518 | 0.934833 +/- 0.013733 | 0.137657 +/- 0.042485
semantic_lna_single        k2=3     | 0.964530 +/- 0.009398 | 0.935500 +/- 0.012971 | 0.152149 +/- 0.063336
semantic_lna_single        k2=4     | 0.965131 +/- 0.009355 | 0.935500 +/- 0.012971 | 0.152149 +/- 0.063336
semantic_lna_single        k2=5     | 0.965246 +/- 0.009243 | 0.935500 +/- 0.012971 | 0.152149 +/- 0.063336
semantic_lna_random_single k2=0     | 0.925259 +/- 0.010477 | 0.878667 +/- 0.020751 | 0.050427 +/- 0.050005
semantic_lna_random_single k2=1     | 0.936988 +/- 0.007959 | 0.899500 +/- 0.021743 | 0.050877 +/- 0.050023
semantic_lna_random_single k2=2     | 0.944522 +/- 0.009332 | 0.911500 +/- 0.019698 | 0.065916 +/- 0.032963
semantic_lna_random_single k2=3     | 0.948749 +/- 0.008037 | 0.919333 +/- 0.020127 | 0.080779 +/- 0.024048
semantic_lna_random_single k2=4     | 0.953855 +/- 0.009903 | 0.923333 +/- 0.015987 | 0.091672 +/- 0.010489
semantic_lna_random_single k2=5     | 0.956142 +/- 0.009643 | 0.926667 +/- 0.015767 | 0.069805 +/- 0.033693

