==============================================================
  FULL EXPERIMENT SUMMARY (MERGED) — Fri Apr 10 01:09:51 EDT 2026
  17/18 experiments (excluding fov7_30c8p_r70_discriminative)
==============================================================

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
semantic_lna_single        k2=5     | 0.984139 +/- 0.010606 | 0.973500 +/- 0.000500 | 0.027778 +/- 0.048112
semantic_lna_random_single k2=0     | 0.959502 +/- 0.020629 | 0.958167 +/- 0.003819 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=1     | 0.965397 +/- 0.017710 | 0.964667 +/- 0.001756 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=2     | 0.970009 +/- 0.015358 | 0.966500 +/- 0.002000 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=3     | 0.973968 +/- 0.013786 | 0.969167 +/- 0.001528 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=4     | 0.976454 +/- 0.011829 | 0.969833 +/- 0.000764 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=5     | 0.978755 +/- 0.010433 | 0.971500 +/- 0.000500 | 0.000000 +/- 0.000000

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_original
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.845501 +/- 0.022486 | 0.900238 +/- 0.021918 | 0.155252 +/- 0.043710
semantic                   1        | 0.920094 +/- 0.003839 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   2        | 0.927694 +/- 0.001422 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   3        | 0.928061 +/- 0.000883 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   4        | 0.928571 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 0.928571 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.845501 +/- 0.022486 | 0.900238 +/- 0.021918 | 0.155252 +/- 0.043710
semantic_random            1        | 0.854732 +/- 0.019033 | 0.912619 +/- 0.017704 | 0.156838 +/- 0.046396
semantic_random            2        | 0.862850 +/- 0.018548 | 0.923690 +/- 0.014438 | 0.174191 +/- 0.059203
semantic_random            3        | 0.872634 +/- 0.015865 | 0.937262 +/- 0.015396 | 0.188750 +/- 0.053077
semantic_random            4        | 0.878602 +/- 0.012369 | 0.944643 +/- 0.011807 | 0.222021 +/- 0.053274
semantic_random            5        | 0.886598 +/- 0.009445 | 0.953809 +/- 0.007020 | 0.236574 +/- 0.057607
semantic_lna               k2=0     | 0.902387 +/- 0.018943 | 0.879167 +/- 0.025643 | 0.123338 +/- 0.038072
semantic_lna               k2=1     | 0.926122 +/- 0.013968 | 0.912833 +/- 0.023459 | 0.183333 +/- 0.076376
semantic_lna               k2=2     | 0.927657 +/- 0.014154 | 0.912833 +/- 0.023459 | 0.183333 +/- 0.076376
semantic_lna               k2=3     | 0.927714 +/- 0.014097 | 0.912833 +/- 0.023459 | 0.183333 +/- 0.076376
semantic_lna               k2=4     | 0.927714 +/- 0.014097 | 0.912833 +/- 0.023459 | 0.183333 +/- 0.076376
semantic_lna               k2=5     | 0.927714 +/- 0.014097 | 0.912833 +/- 0.023459 | 0.183333 +/- 0.076376
